TEAM             , NAME                  , NATIONALITY, ROLE      , POSITION, AGE, SHOOTING, PASSING, DRIBBLING, PACE, DEFENDING, PHYSICAL, GOALKEEPING
BARCELONA        , VICTOR VALDES         , Spanish    , Goalkeeper, GK      ,  29,        8,      50,        40,   40,        20,       60,          87
BARCELONA        , CARLES PUYOL          , Spanish    , Defender  , CB      ,  33,       25,      62,        48,   55,        88,       84,           5
BARCELONA        , GERARD PIQUE          , Spanish    , Defender  , CB      ,  24,       30,      67,        55,   58,        87,       78,           5
BARCELONA        , DANI ALVES            , Brazilian  , Defender  , RB      ,  28,       72,      80,        82,   84,        75,       76,           5
BARCELONA        , XAVI HERNANDEZ        , Spanish    , Midfielder, CM      ,  31,       70,      98,        90,   74,        72,       68,           5
BARCELONA        , ANDRES INIESTA        , Spanish    , Midfielder, CAM     ,  27,       74,      92,        95,   78,        65,       66,           5
BARCELONA        , SERGIO BUSQUETS       , Spanish    , Midfielder, CDM     ,  22,       45,      84,        70,   52,        80,       68,           5
BARCELONA        , CESC FABREGAS         , Spanish    , Midfielder, CM      ,  24,       74,      90,        82,   72,        58,       66,           5
BARCELONA        , LIONEL MESSI          , Argentine  , Attacker  , RW      ,  23,       96,      90,        99,   96,        38,       65,           5
BARCELONA        , DAVID VILLA           , Spanish    , Attacker  , ST      ,  29,       90,      74,        78,   82,        35,       72,           5
BARCELONA        , PEDRO RODRIGUEZ       , Spanish    , Attacker  , LW      ,  23,       80,      72,        78,   86,        38,       66,           5
REAL MADRID      , KEYLOR NAVAS          , Costa Rican, Goalkeeper, GK      ,  30,       10,      52,        42,   44,        22,       58,          87
REAL MADRID      , SERGIO RAMOS          , Spanish    , Defender  , CB      ,  31,       62,      72,        66,   60,        91,       84,           5
REAL MADRID      , RAPHAEL VARANE        , French     , Defender  , CB      ,  24,       28,      64,        60,   74,        87,       76,           5
REAL MADRID      , DANI CARVAJAL         , Spanish    , Defender  , RB      ,  25,       55,      72,        72,   80,        76,       72,           5
REAL MADRID      , MARCELO               , Brazilian  , Defender  , LB      ,  29,       62,      80,        84,   82,        66,       72,           5
REAL MADRID      , LUKA MODRIC           , Croatian   , Midfielder, CM      ,  31,       72,      92,        90,   78,        72,       68,           5
REAL MADRID      , TONI KROOS            , German     , Midfielder, CM      ,  27,       78,      95,        78,   58,        72,       72,           5
REAL MADRID      , CASEMIRO              , Brazilian  , Midfielder, CDM     ,  25,       52,      72,        62,   56,        88,       84,           5
REAL MADRID      , CRISTIANO RONALDO     , Portuguese , Attacker  , ST      ,  32,       98,      78,        88,   90,        38,       88,           5
REAL MADRID      , KARIM BENZEMA         , French     , Attacker  , CF      ,  29,       88,      82,        82,   76,        40,       78,           5
REAL MADRID      , GARETH BALE           , Welsh      , Attacker  , LW      ,  27,       88,      72,        82,   95,        36,       78,           5
MANCHESTER UNITED, EDWIN VAN DER SAR     , Dutch      , Goalkeeper, GK      ,  37,       10,      50,        38,   35,        20,       62,          89
MANCHESTER UNITED, RIO FERDINAND         , English    , Defender  , CB      ,  29,       30,      65,        56,   64,        89,       76,           5
MANCHESTER UNITED, NEMANJA VIDIC         , Serbian    , Defender  , CB      ,  26,       28,      52,        44,   56,        92,       88,           5
MANCHESTER UNITED, PATRICE EVRA          , French     , Defender  , LB      ,  27,       45,      68,        66,   76,        78,       72,           5
MANCHESTER UNITED, PAUL SCHOLES          , English    , Midfielder, CM      ,  33,       82,      88,        76,   52,        68,       68,           5
MANCHESTER UNITED, RYAN GIGGS            , Welsh      , Midfielder, LM      ,  34,       72,      82,        84,   76,        58,       66,           5
MANCHESTER UNITED, MICHAEL CARRICK       , English    , Midfielder, CDM     ,  26,       52,      82,        66,   54,        76,       68,           5
MANCHESTER UNITED, OWEN HARGREAVES       , English    , Midfielder, CDM     ,  27,       50,      72,        62,   72,        78,       74,           5
MANCHESTER UNITED, CRISTIANO RONALDO     , Portuguese , Attacker  , RW      ,  23,       90,      76,        94,   96,        36,       78,           5
MANCHESTER UNITED, WAYNE ROONEY          , English    , Attacker  , ST      ,  22,       88,      78,        82,   78,        44,       82,           5
MANCHESTER UNITED, CARLOS TEVEZ          , Argentine  , Attacker  , CF      ,  24,       82,      70,        84,   82,        40,       80,           5
CHELSEA          , PETR CECH             , Czech      , Goalkeeper, GK      ,  23,       10,      50,        38,   40,        22,       64,          91
CHELSEA          , JOHN TERRY            , English    , Defender  , CB      ,  24,       38,      62,        50,   54,        92,       88,           5
CHELSEA          , RICARDO CARVALHO      , Portuguese , Defender  , CB      ,  27,       28,      58,        50,   56,        89,       80,           5
CHELSEA          , WILLIAM GALLAS        , French     , Defender  , CB      ,  27,       35,      60,        60,   72,        82,       76,           5
CHELSEA          , FRANK LAMPARD         , English    , Midfielder, CM      ,  26,       88,      84,        74,   66,        68,       82,           5
CHELSEA          , CLAUDE MAKELELE       , French     , Midfielder, CDM     ,  32,       42,      72,        64,   56,        84,       76,           5
CHELSEA          , MICHAEL ESSIEN        , Ghanaian   , Midfielder, CM      ,  22,       68,      72,        72,   78,        78,       86,           5
CHELSEA          , JOE COLE              , English    , Midfielder, LM      ,  23,       72,      74,        80,   78,        44,       64,           5
CHELSEA          , DIDIER DROGBA         , Ivorian    , Attacker  , ST      ,  27,       88,      68,        72,   76,        38,       90,           5
CHELSEA          , ARJEN ROBBEN          , Dutch      , Attacker  , RW      ,  21,       80,      74,        88,   88,        34,       66,           5
CHELSEA          , DAMIEN DUFF           , Irish      , Attacker  , LW      ,  26,       72,      72,        82,   86,        36,       64,           5
LIVERPOOL        , ALISSON BECKER        , Brazilian  , Goalkeeper, GK      ,  27,       10,      58,        40,   42,        24,       62,          92
LIVERPOOL        , VIRGIL VAN DIJK       , Dutch      , Defender  , CB      ,  28,       42,      70,        58,   72,        93,       88,           5
LIVERPOOL        , JOEL MATIP            , Cameroonian, Defender  , CB      ,  28,       28,      60,        52,   64,        84,       80,           5
LIVERPOOL        , TRENT ALEXANDER-ARNOLD, English    , Defender  , RB      ,  21,       72,      88,        72,   80,        66,       68,           5
LIVERPOOL        , ANDREW ROBERTSON      , Scottish   , Defender  , LB      ,  26,       62,      80,        74,   84,        74,       76,           5
LIVERPOOL        , JORDAN HENDERSON      , English    , Midfielder, CM      ,  29,       62,      78,        68,   70,        76,       80,           5
LIVERPOOL        , FABINHO               , Brazilian  , Midfielder, CDM     ,  26,       52,      74,        68,   60,        86,       80,           5
LIVERPOOL        , GEORGINIO WIJNALDUM   , Dutch      , Midfielder, CM      ,  29,       68,      78,        76,   72,        66,       78,           5
LIVERPOOL        , MOHAMED SALAH         , Egyptian   , Attacker  , RW      ,  27,       90,      76,        90,   92,        38,       72,           5
LIVERPOOL        , SADIO MANE            , Senegalese , Attacker  , LW      ,  28,       88,      74,        88,   90,        40,       76,           5
LIVERPOOL        , ROBERTO FIRMINO       , Brazilian  , Attacker  , CF      ,  28,       80,      82,        84,   72,        52,       72,           5
MANCHESTER CITY  , EDERSON               , Brazilian  , Goalkeeper, GK      ,  29,       35,      78,        50,   48,        20,       66,          91
MANCHESTER CITY  , RUBEN DIAS            , Portuguese , Defender  , CB      ,  25,       30,      66,        52,   62,        91,       84,           5
