TEAM         , NAME                      , NATIONALITY  , ROLE      , POSITION, AGE, SHOOTING, PASSING, DRIBBLING, PACE, DEFENDING, PHYSICAL, GOALKEEPING
ARGENTINA    , EMILIANO MARTINEZ         , Argentine    , Goalkeeper, GK      ,  33,       12,      58,        45,   40,        28,       72,          91
ARGENTINA    , NAHUEL MOLINA             , Argentine    , Defender  , RB      ,  28,       66,      74,        76,   83,        77,       74,          10
ARGENTINA    , CRISTIAN ROMERO           , Argentine    , Defender  , CB      ,  28,       42,      72,        67,   74,        89,       84,           8
ARGENTINA    , LISANDRO MARTINEZ         , Argentine    , Defender  , CB      ,  28,       38,      70,        64,   68,        87,       82,           8
ARGENTINA    , NICOLAS TAGLIAFICO        , Argentine    , Defender  , LB      ,  33,       58,      72,        70,   72,        76,       72,           8
ARGENTINA    , RODRIGO DE PAUL           , Argentine    , Midfielder, CM      ,  32,       74,      84,        82,   76,        76,       80,           5
ARGENTINA    , ALEXIS MAC ALLISTER       , Argentine    , Midfielder, CM      ,  27,       76,      86,        82,   74,        78,       78,           5
ARGENTINA    , ENZO FERNANDEZ            , Argentine    , Midfielder, CM      ,  25,       74,      84,        80,   72,        74,       76,           5
ARGENTINA    , LAUTARO MARTINEZ          , Argentine    , Attacker  , ST      ,  28,       88,      76,        84,   78,        44,       82,           5
ARGENTINA    , JULIAN ALVAREZ            , Argentine    , Attacker  , ST      ,  26,       84,      76,        84,   80,        52,       78,           5
ARGENTINA    , LIONEL MESSI              , Argentine    , Attacker  , RW      ,  38,       91,      91,        93,   78,        36,       68,           5
FRANCE       , MIKE MAIGNAN              , French       , Goalkeeper, GK      ,  31,       10,      62,        42,   45,        25,       74,          90
FRANCE       , JULES KOUNDE              , French       , Defender  , RB      ,  28,       62,      78,        80,   84,        84,       78,           8
FRANCE       , WILLIAM SALIBA            , French       , Defender  , CB      ,  25,       40,      76,        72,   78,        90,       84,           7
FRANCE       , IBRAHIMA KONATE           , French       , Defender  , CB      ,  27,       38,      68,        70,   78,        87,       88,           7
FRANCE       , THEO HERNANDEZ            , French       , Defender  , LB      ,  29,       74,      78,        82,   92,        76,       82,           7
FRANCE       , AURELIEN TCHOUAMENI       , French       , Midfielder, CDM     ,  26,       70,      84,        78,   74,        84,       84,           5
FRANCE       , EDUARDO CAMAVINGA         , French       , Midfielder, CM      ,  24,       72,      82,        84,   82,        80,       80,           5
FRANCE       , ANTOINE GRIEZMANN         , French       , Midfielder, CAM     ,  35,       86,      88,        88,   76,        58,       74,           5
FRANCE       , OUSMANE DEMBELE           , French       , Attacker  , RW      ,  29,       86,      82,        92,   95,        40,       62,           5
FRANCE       , KYLIAN MBAPPE             , French       , Attacker  , LW      ,  27,       94,      82,        93,   99,        38,       76,           5
FRANCE       , RANDAL KOLO MUANI         , French       , Attacker  , ST      ,  27,       82,      74,        82,   90,        42,       78,           5
BRAZIL       , ALISSON                   , Brazilian    , Goalkeeper, GK      ,  34,       12,      60,        42,   38,        30,       74,          90
BRAZIL       , DANILO                    , Brazilian    , Defender  , RB      ,  35,       60,      74,        74,   72,        82,       78,           8
BRAZIL       , MARQUINHOS                , Brazilian    , Defender  , CB      ,  32,       42,      80,        74,   76,        88,       82,           8
BRAZIL       , GABRIEL MAGALHAES         , Brazilian    , Defender  , CB      ,  29,       40,      72,        68,   70,        88,       86,           7
BRAZIL       , GUILHERME ARANA           , Brazilian    , Defender  , LB      ,  29,       68,      78,        80,   82,        76,       74,           7
BRAZIL       , BRUNO GUIMARAES           , Brazilian    , Midfielder, CM      ,  29,       74,      86,        84,   74,        78,       80,           5
BRAZIL       , JOELINTON                 , Brazilian    , Midfielder, CM      ,  30,       72,      76,        78,   74,        82,       88,           5
BRAZIL       , LUCAS PAQUETA             , Brazilian    , Midfielder, CAM     ,  29,       80,      84,        86,   76,        62,       74,           5
BRAZIL       , RODRYGO                   , Brazilian    , Attacker  , RW      ,  26,       86,      82,        90,   90,        42,       68,           5
BRAZIL       , VINICIUS JR               , Brazilian    , Attacker  , LW      ,  26,       92,      78,        94,   98,        34,       70,           5
BRAZIL       , ENDRICK                   , Brazilian    , Attacker  , ST      ,  20,       86,      72,        84,   88,        38,       76,           5
SPAIN        , UNAI SIMON                , Spanish      , Goalkeeper, GK      ,  29,       10,      60,        42,   38,        32,       72,          88
SPAIN        , DANI CARVAJAL             , Spanish      , Defender  , RB      ,  34,       68,      82,        78,   80,        84,       80,           7
SPAIN        , PAU CUBARSI               , Spanish      , Defender  , CB      ,  19,       36,      82,        74,   70,        86,       78,           7
SPAIN        , ROBIN LE NORMAND          , Spanish      , Defender  , CB      ,  30,       40,      76,        70,   68,        86,       82,           7
SPAIN        , ALEJANDRO BALDE           , Spanish      , Defender  , LB      ,  23,       68,      80,        86,   96,        74,       72,           7
SPAIN        , RODRI                     , Spanish      , Midfielder, CDM     ,  30,       82,      92,        86,   68,        88,       84,           5
SPAIN        , PEDRI                     , Spanish      , Midfielder, CM      ,  24,       76,      92,        92,   78,        68,       72,           5
SPAIN        , GAVI                      , Spanish      , Midfielder, CM      ,  22,       74,      86,        86,   78,        76,       82,           5
SPAIN        , LAMINE YAMAL              , Spanish      , Attacker  , RW      ,  19,       86,      84,        94,   92,        38,       60,           5
SPAIN        , NICO WILLIAMS             , Spanish      , Attacker  , LW      ,  24,       84,      76,        88,   97,        42,       68,           5
SPAIN        , ALVARO MORATA             , Spanish      , Attacker  , ST      ,  34,       84,      72,        78,   78,        42,       78,           5
PORTUGAL     , DIOGO COSTA               , Portuguese   , Goalkeeper, GK      ,  27,       12,      64,        44,   38,        34,       74,          89
PORTUGAL     , JOAO CANCELO              , Portuguese   , Defender  , RB      ,  32,       72,      86,        88,   84,        74,       72,           7
PORTUGAL     , RUBEN DIAS                , Portuguese   , Defender  , CB      ,  29,       42,      78,        68,   66,        90,       86,           7
PORTUGAL     , GONCALO INACIO            , Portuguese   , Defender  , CB      ,  25,       40,      80,        72,   72,        86,       80,           7
PORTUGAL     , NUNO MENDES               , Portuguese   , Defender  , LB      ,  24,       70,      80,        84,   94,        78,       78,           7
